idCiudad,Numero,Nombre,Estado_idEstado
1,1,AGUASCALIENTES,1
2,2,ASIENTOS,1
3,3,CALVILLO,1
4,4,COSÍO,1
5,5,JESÚS MARÍA,1
6,6,PABELLÓN DE ARTEAGA,1
7,7,RINCÓN DE ROMOS,1
8,8,SAN JOSÉ DE GRACIA,1
9,9,TEPEZALÁ,1
10,10,EL LLANO,1
11,11,SAN FRANCISCO DE LOS ROMO,1
12,1,ENSENADA,2
13,2,MEXICALI,2
14,3,TECATE,2
15,4,TIJUANA,2
16,5,PLAYAS DE ROSARITO,2
17,1,COMONDÚ,3
18,2,MULEGÉ,3
19,3,LA PAZ,3
20,8,LOS CABOS,3
21,9,LORETO,3
22,1,CALKINÍ,4
23,2,CAMPECHE,4
24,3,CARMEN,4
25,4,CHAMPOTÓN,4
26,5,HECELCHAKÁN,4
27,6,HOPELCHÉN,4
28,7,PALIZADA,4
29,8,TENABO,4
30,9,ESCÁRCEGA,4
31,10,CALAKMUL,4
32,11,CANDELARIA,4
33,1,ABASOLO,5
34,2,ACUÑA,5
35,3,ALLENDE,5
36,4,ARTEAGA,5
37,5,CANDELA,5
38,6,CASTAÑOS,5
39,7,CUATRO CIÉNEGAS,5
40,8,ESCOBEDO,5
41,9,FRANCISCO I. MADERO,5
42,10,FRONTERA,5
43,11,GENERAL CEPEDA,5
44,12,GUERRERO,5
45,13,HIDALGO,5
46,14,JIMÉNEZ,5
47,15,JUÁREZ,5
48,16,LAMADRID,5
49,17,MATAMOROS,5
50,18,MONCLOVA,5
51,19,MORELOS,5
52,20,MÚZQUIZ,5
53,21,NADADORES,5
54,22,NAVA,5
55,23,OCAMPO,5
56,24,PARRAS,5
57,25,PIEDRAS NEGRAS,5
58,26,PROGRESO,5
59,27,RAMOS ARIZPE,5
60,28,SABINAS,5
61,29,SACRAMENTO,5
62,30,SALTILLO,5
63,31,SAN BUENAVENTURA,5
64,32,SAN JUAN DE SABINAS,5
65,33,SAN PEDRO,5
66,34,SIERRA MOJADA,5
67,35,TORREÓN,5
68,36,VIESCA,5
69,37,VILLA UNIÓN,5
70,38,ZARAGOZA,5
71,1,ARMERÍA,6
72,2,COLIMA,6
73,3,COMALA,6
74,4,COQUIMATLÁN,6
75,5,CUAUHTÉMOC,6
76,6,IXTLAHUACÁN,6
77,7,MANZANILLO,6
78,8,MINATITLÁN,6
79,9,TECOMÁN,6
80,10,VILLA DE ÁLVAREZ,6
81,1,ACACOYAGUA,7
82,2,ACALA,7
83,3,ACAPETAHUA,7
84,4,ALTAMIRANO,7
85,5,AMATÁN,7
86,6,AMATENANGO DE LA FRONTERA,7
87,7,AMATENANGO DEL VALLE,7
88,8,ANGEL ALBINO CORZO,7
89,9,ARRIAGA,7
90,10,BEJUCAL DE OCAMPO,7
91,11,BELLA VISTA,7
92,12,BERRIOZÁBAL,7
93,13,BOCHIL,7
94,14,EL BOSQUE,7
95,15,CACAHOATÁN,7
96,16,CATAZAJÁ,7
97,17,CINTALAPA,7
98,18,COAPILLA,7
